epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19.8472,1.04367,1.07447,1.15774,0.83957,0.94144,0.97278,0.66683,1.16912,0.90551,1.09666,0.000848969,0.000848969,0.000848969
43,20.3004,1.11655,1.06568,1.11696,0.9461,0.98856,0.995,0.70303,1.14868,0.89547,1.11941,0.000834822,0.000834822,0.000834822
44,20.7622,0.96528,1.0201,1.11537,0.93647,0.9467,0.995,0.67047,1.16351,0.88434,1.14361,0.000820675,0.000820675,0.000820675
45,21.2134,1.01896,1.00638,1.11365,0.86185,0.97255,0.98389,0.65829,1.27981,0.8753,1.1845,0.000806528,0.000806528,0.000806528
46,21.6651,1.09399,1.00714,1.11836,0.89273,0.92425,0.97595,0.64482,1.29106,0.90329,1.19534,0.00079238,0.00079238,0.00079238
47,22.1246,1.01417,0.90002,1.06155,0.89907,0.93333,0.97595,0.64699,1.30289,0.84779,1.23308,0.000778233,0.000778233,0.000778233
48,22.5792,1.02332,0.95685,1.10809,0.9426,0.99551,0.995,0.66546,1.29698,0.74687,1.21141,0.000764086,0.000764086,0.000764086
49,23.0333,1.01646,0.91958,1.09479,0.97668,0.99363,0.995,0.68153,1.24766,0.76077,1.12479,0.000749939,0.000749939,0.000749939
50,23.4849,0.9377,0.92272,1.06841,0.98308,1,0.995,0.66301,1.2051,0.73455,1.08568,0.000735792,0.000735792,0.000735792
51,23.9368,1.05637,0.94273,1.11405,0.96995,0.99233,0.995,0.65789,1.25731,0.77918,1.11231,0.000721645,0.000721645,0.000721645
52,24.3969,0.95973,0.88566,1.03332,0.96895,0.93333,0.98389,0.66205,1.25931,0.79136,1.13426,0.000707498,0.000707498,0.000707498
53,24.852,0.96932,0.97834,1.07886,0.93324,0.93333,0.95864,0.64905,1.36597,0.8669,1.21434,0.000693351,0.000693351,0.000693351
54,25.3021,0.92674,0.86901,1.08068,0.88127,0.93333,0.95611,0.62869,1.39858,0.91654,1.2629,0.000679204,0.000679204,0.000679204
